config,model,task,protocol,seed,epochs,weight_decay,reported_test_accuracy,paper_blcnn_target_accuracy,accuracy_gap_to_paper_blcnn,final_train_accuracy,final_test_loss,train_size,val_size,test_size,sample_count
paper40_clean_wd0.001,MLP,clear,paper40_clean,123,400,0.001,69.15807560137456,89.69,-20.531924398625435,73.71134020618557,0.6030529987361423,776,0,1164,1940
paper40_clean_wd0.001,MLP,win,paper40_clean,123,400,0.001,67.26804123711341,86.56,-19.291958762886594,73.58247422680412,0.610845309352547,776,0,1164,1940
paper40_clean_wd0.001,MLP,potted_after_break,paper40_clean,123,400,0.001,55.06872852233678,80.94,-25.87127147766322,53.99484536082474,1.4086823152102965,776,0,1164,1940
paper40_clean_wd0.001,Transformer,clear,paper40_clean,123,400,0.001,65.80756013745705,89.69,-23.882439862542952,69.45876288659794,0.8532223138202917,776,0,1164,1940
paper40_clean_wd0.001,Transformer,win,paper40_clean,123,400,0.001,66.40893470790378,86.56,-20.15106529209622,72.16494845360825,0.6497938196683667,776,0,1164,1940
paper40_clean_wd0.001,Transformer,potted_after_break,paper40_clean,123,400,0.001,40.12027491408935,80.94,-40.81972508591065,44.71649484536083,1.5185014189723431,776,0,1164,1940
paper40_clean_wd0.001,Attention,clear,paper40_clean,123,400,0.001,65.893470790378,89.69,-23.796529209621994,69.20103092783505,0.5825616664083553,776,0,1164,1940
paper40_clean_wd0.001,Attention,win,paper40_clean,123,400,0.001,66.40893470790378,86.56,-20.15106529209622,72.0360824742268,0.6389460655831799,776,0,1164,1940
paper40_clean_wd0.001,Attention,potted_after_break,paper40_clean,123,400,0.001,48.02405498281787,80.94,-32.915945017182125,39.819587628865975,1.5018738028929406,776,0,1164,1940
paper40_clean_wd0.0001,MLP,clear,paper40_clean,123,400,0.0001,69.3298969072165,89.69,-20.360103092783504,73.71134020618557,0.602767761220637,776,0,1164,1940
paper40_clean_wd0.0001,MLP,win,paper40_clean,123,400,0.0001,67.18213058419244,86.56,-19.377869415807567,73.71134020618557,0.6106696876463612,776,0,1164,1940
paper40_clean_wd0.0001,MLP,potted_after_break,paper40_clean,123,400,0.0001,55.2405498281787,80.94,-25.699450171821297,53.608247422680414,1.4088121689472002,776,0,1164,1940
paper40_clean_wd0.0001,Transformer,clear,paper40_clean,123,400,0.0001,65.80756013745705,89.69,-23.882439862542952,69.3298969072165,0.8971925943168169,776,0,1164,1940
paper40_clean_wd0.0001,Transformer,win,paper40_clean,123,400,0.0001,66.40893470790378,86.56,-20.15106529209622,72.16494845360825,0.6479529259131127,776,0,1164,1940
paper40_clean_wd0.0001,Transformer,potted_after_break,paper40_clean,123,400,0.0001,39.43298969072165,80.94,-41.50701030927835,44.84536082474227,1.538756304999807,776,0,1164,1940
paper40_clean_wd0.0001,Attention,clear,paper40_clean,123,400,0.0001,65.893470790378,89.69,-23.796529209621994,69.3298969072165,0.5822753949263662,776,0,1164,1940
paper40_clean_wd0.0001,Attention,win,paper40_clean,123,400,0.0001,66.40893470790378,86.56,-20.15106529209622,72.0360824742268,0.6387957045712422,776,0,1164,1940
paper40_clean_wd0.0001,Attention,potted_after_break,paper40_clean,123,400,0.0001,48.02405498281787,80.94,-32.915945017182125,40.33505154639175,1.500128033644555,776,0,1164,1940
