model,task,protocol,seed,epochs,weight_decay,reported_test_accuracy,paper_blcnn_target_accuracy,accuracy_gap_to_paper_blcnn,best_epoch,best_selection_accuracy,train_size,val_size,test_size,sample_count
MLP,clear,paper40_clean,123,400,0.0001,69.3298969072165,89.69,-20.360103092783504,,,776,0,1164,1940
MLP,win,paper40_clean,123,400,0.0001,67.18213058419244,86.56,-19.377869415807567,,,776,0,1164,1940
MLP,potted_after_break,paper40_clean,123,400,0.0001,55.2405498281787,80.94,-25.699450171821297,,,776,0,1164,1940
Transformer,clear,paper40_clean,123,400,0.0001,65.80756013745705,89.69,-23.882439862542952,,,776,0,1164,1940
Transformer,win,paper40_clean,123,400,0.0001,66.40893470790378,86.56,-20.15106529209622,,,776,0,1164,1940
Transformer,potted_after_break,paper40_clean,123,400,0.0001,39.43298969072165,80.94,-41.50701030927835,,,776,0,1164,1940
Attention,clear,paper40_clean,123,400,0.0001,65.893470790378,89.69,-23.796529209621994,,,776,0,1164,1940
Attention,win,paper40_clean,123,400,0.0001,66.40893470790378,86.56,-20.15106529209622,,,776,0,1164,1940
Attention,potted_after_break,paper40_clean,123,400,0.0001,48.02405498281787,80.94,-32.915945017182125,,,776,0,1164,1940
